,Truck Type,State,Fuel Type,Cost
394,hcm_monthly,WestBengal,Electric,7.0
395,hcm_monthly,WestBengal,Petrol,106.01
396,hcm_multi,AndraPradesh,Diesel,99.11
397,hcm_multi,AndraPradesh,Electric,6.5
398,hcm_multi,AndraPradesh,Petrol,111.22
399,hcm_multi,Manipur,Diesel,89.06
400,hcm_multi,Manipur,Electric,6.0
401,hcm_multi,Manipur,Petrol,97.54
402,hcm_multi,Bihar,Diesel,94.67
403,hcm_multi,Bihar,Electric,6.75
404,hcm_multi,Bihar,Petrol,107.94
405,hcm_multi,Chandigarh,Diesel,84.26
406,hcm_multi,Chandigarh,Electric,5.5
407,hcm_multi,Chandigarh,Petrol,96.2
408,hcm_multi,Chhattisgarh,Diesel,95.59
409,hcm_multi,Chhattisgarh,Electric,5.5
410,hcm_multi,Chhattisgarh,Petrol,102.6
411,hcm_multi,Chattisgarh,Diesel,92.7
412,hcm_multi,Chattisgarh,Electric,6.0
413,hcm_multi,Chattisgarh,Petrol,96.94
414,hcm_multi,Haryana,Diesel,90.05
415,hcm_multi,Haryana,Electric,6.25
416,hcm_multi,Haryana,Petrol,97.2
417,hcm_multi,HimachalPradesh,Diesel,86.3
418,hcm_multi,HimachalPradesh,Electric,4.75
419,hcm_multi,HimachalPradesh,Petrol,97.24
420,hcm_multi,Jammu&Kashmir,Diesel,85.43
421,hcm_multi,Jammu&Kashmir,Electric,7.75
422,hcm_multi,Jammu&Kashmir,Petrol,100.13
423,hcm_multi,Jharkhand,Diesel,94.73
424,hcm_multi,Jharkhand,Electric,6.5
425,hcm_multi,Jharkhand,Petrol,99.92
426,hcm_multi,Karnataka,Diesel,89.03
427,hcm_multi,Karnataka,Electric,7.0
428,hcm_multi,Karnataka,Petrol,102.7
429,hcm_multi,Telangana,Diesel,97.7
430,hcm_multi,Telangana,Electric,5.5
431,hcm_multi,Telangana,Petrol,108.84
432,hcm_multi,MadhyaPradesh,Diesel,94.56
433,hcm_multi,MadhyaPradesh,Electric,6.25
434,hcm_multi,MadhyaPradesh,Petrol,109.36
435,hcm_multi,Maharastra,Diesel,93.45
436,hcm_multi,Maharastra,Electric,7.5
437,hcm_multi,Maharastra,Petrol,106.87
438,hcm_multi,Mizoram,Diesel,82.18
439,hcm_multi,Mizoram,Electric,5.25
440,hcm_multi,Mizoram,Petrol,95.73
441,hcm_multi,Odisha,Diesel,95.15
442,hcm_multi,Odisha,Electric,6.25
443,hcm_multi,Odisha,Petrol,103.59
444,hcm_multi,Punjab,Diesel,87.79
445,hcm_multi,Punjab,Electric,5.75
446,hcm_multi,Punjab,Petrol,97.44
447,hcm_multi,Rajasthan,Diesel,94.55
448,hcm_multi,Rajasthan,Electric,6.5
449,hcm_multi,Rajasthan,Petrol,109.4
450,hcm_multi,TamilNadu,Diesel,95.17
451,hcm_multi,TamilNadu,Electric,5.75
452,hcm_multi,TamilNadu,Petrol,103.56
453,hcm_multi,UttarPradesh,Diesel,90.13
454,hcm_multi,UttarPradesh,Electric,6.5
455,hcm_multi,UttarPradesh,Petrol,96.99
456,hcm_multi,Uttarakhand,Diesel,89.94
457,hcm_multi,Uttarakhand,Electric,5.5
458,hcm_multi,Uttarakhand,Petrol,94.86
459,hcm_multi,WestBengal,Diesel,92.75
460,hcm_multi,WestBengal,Electric,7.0
461,hcm_multi,WestBengal,Petrol,106.01
462,hcm_single,AndraPradesh,Diesel,99.11
463,hcm_single,AndraPradesh,Electric,6.5
464,hcm_single,AndraPradesh,Petrol,111.22
465,hcm_single,Manipur,Diesel,89.06
466,hcm_single,Manipur,Electric,6.0
467,hcm_single,Manipur,Petrol,97.54
468,hcm_single,Bihar,Diesel,94.67
469,hcm_single,Bihar,Electric,6.75
470,hcm_single,Bihar,Petrol,107.94
471,hcm_single,Chandigarh,Diesel,84.26
472,hcm_single,Chandigarh,Electric,5.5
473,hcm_single,Chandigarh,Petrol,96.2
474,hcm_single,Chhattisgarh,Diesel,95.59
475,hcm_single,Chhattisgarh,Electric,5.5
476,hcm_single,Chhattisgarh,Petrol,102.6
477,hcm_single,Chattisgarh,Diesel,92.7
478,hcm_single,Chattisgarh,Electric,6.0
479,hcm_single,Chattisgarh,Petrol,96.94
480,hcm_single,Haryana,Diesel,90.05
481,hcm_single,Haryana,Electric,6.25
482,hcm_single,Haryana,Petrol,97.2
483,hcm_single,HimachalPradesh,Diesel,86.3
484,hcm_single,HimachalPradesh,Electric,4.75
485,hcm_single,HimachalPradesh,Petrol,97.24
486,hcm_single,Jammu&Kashmir,Diesel,85.43
487,hcm_single,Jammu&Kashmir,Electric,7.75
488,hcm_single,Jammu&Kashmir,Petrol,100.13
489,hcm_single,Jharkhand,Diesel,94.73
490,hcm_single,Jharkhand,Electric,6.5
491,hcm_single,Jharkhand,Petrol,99.92
492,hcm_single,Karnataka,Diesel,89.03
493,hcm_single,Karnataka,Electric,7.0
494,hcm_single,Karnataka,Petrol,102.7
495,hcm_single,Telangana,Diesel,97.7
496,hcm_single,Telangana,Electric,5.5
497,hcm_single,Telangana,Petrol,108.84
498,hcm_single,MadhyaPradesh,Diesel,94.56
499,hcm_single,MadhyaPradesh,Electric,6.25
500,hcm_single,MadhyaPradesh,Petrol,109.36
501,hcm_single,Maharastra,Diesel,93.45
502,hcm_single,Maharastra,Electric,7.5
503,hcm_single,Maharastra,Petrol,106.87
504,hcm_single,Mizoram,Diesel,82.18
505,hcm_single,Mizoram,Electric,5.25
506,hcm_single,Mizoram,Petrol,95.73
507,hcm_single,Odisha,Diesel,95.15
508,hcm_single,Odisha,Electric,6.25
509,hcm_single,Odisha,Petrol,103.59
510,hcm_single,Punjab,Diesel,87.79
511,hcm_single,Punjab,Electric,5.75
512,hcm_single,Punjab,Petrol,97.44
513,hcm_single,Rajasthan,Diesel,94.55
514,hcm_single,Rajasthan,Electric,6.5
515,hcm_single,Rajasthan,Petrol,109.4
516,hcm_single,TamilNadu,Diesel,95.17
517,hcm_single,TamilNadu,Electric,5.75
518,hcm_single,TamilNadu,Petrol,103.56
519,hcm_single,UttarPradesh,Diesel,90.13
520,hcm_single,UttarPradesh,Electric,6.5
521,hcm_single,UttarPradesh,Petrol,96.99
522,hcm_single,Uttarakhand,Diesel,89.94
523,hcm_single,Uttarakhand,Electric,5.5
524,hcm_single,Uttarakhand,Petrol,94.86
525,hcm_single,WestBengal,Diesel,92.75
526,hcm_single,WestBengal,Electric,7.0
